Input File; Weighting; Batch No.; Iteration No.; Total Iterations; Start Time; Layout No.; Layout Type; Entropy; Available Length; Container Dimensions; Max Weight (kg); Elapsed Time; No. of Stacks; Layout Filename; Time Interval (s)
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:50:26; 1; entropy; 24.4390379923699; 623; 1203x235x210; 25999; 00:00:00.20; 14; 1_12.50.26_entropy.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:50:26; 1; length; 24.4390379923699; 623; 1203x235x210; 25999; 00:00:00.32; 14; 1_12.50.26_length.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:50:26; 2; entropy; 22.4852047937042; 513; 1203x235x210; 25999; 00:00:00.39; 14; 2_12.50.26_entropy.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:50:27; 19; length; 27.5116041270669; 637; 1203x235x210; 25999; 00:00:00.48; 14; 19_12.50.26_length.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:50:27; 25; length; 22.9033851455295; 641; 1203x235x210; 25999; 00:00:00.56; 14; 25_12.50.27_length.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:50:27; 31; length; 27.6524426173765; 650; 1203x235x210; 25999; 00:00:00.65; 14; 31_12.50.27_length.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:50:27; 39; entropy; 22.2911104640237; 416; 1203x235x210; 25999; 00:00:00.73; 14; 39_12.50.27_entropy.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:50:27; 136; length; 23.9007087959768; 663; 1203x235x210; 25999; 00:00:00.92; 14; 136_12.50.27_length.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:50:27; 143; entropy; 21.7760235637816; 620; 1203x235x210; 25999; 00:00:01.01; 14; 143_12.50.27_entropy.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:50:27; 174; entropy; 21.7180507610159; 481; 1203x235x210; 25999; 00:00:01.11; 14; 174_12.50.27_entropy.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:50:27; 229; length; 21.9330224888351; 702; 1203x235x210; 25999; 00:00:01.24; 14; 229_12.50.27_length.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:50:27; 285; entropy; 21.6955335264742; 475; 1203x235x210; 25999; 00:00:01.36; 14; 285_12.50.27_entropy.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:50:28; 303; entropy; 20.4096313718618; 520; 1203x235x210; 25999; 00:00:01.45; 14; 303_12.50.27_entropy.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:50:28; 473; entropy; 20.3904262757255; 372; 1203x235x210; 25999; 00:00:01.69; 14; 473_12.50.28_entropy.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:50:28; 648; length; 24.7576534897209; 707; 1203x235x210; 25999; 00:00:01.93; 14; 648_12.50.28_length.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:50:28; 1008; length; 21.8526905529408; 708; 1203x235x210; 25999; 00:00:02.35; 14; 1008_12.50.28_length.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:50:29; 1938; entropy; 20.0082114550695; 622; 1203x235x210; 25999; 00:00:03.32; 14; 1938_12.50.29_entropy.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:50:30; 2212; entropy; 18.7009757746689; 578; 1203x235x210; 25999; 00:00:03.64; 14; 2212_12.50.30_entropy.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:50:38; 10232; length; 22.2635015730438; 725; 1203x235x210; 25999; 00:00:11.79; 14; 10232_12.50.38_length.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:50:40; 12301; length; 23.1384923096621; 730; 1203x235x210; 25999; 00:00:14.09; 14; 12301_12.50.40_length.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:50:45; 16888; entropy; 18.2238138762583; 615; 1203x235x210; 25999; 00:00:19.05; 14; 16888_12.50.45_entropy.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:50:54; 24775; entropy; 18.0244684106209; 493; 1203x235x210; 25999; 00:00:27.83; 14; 24775_12.50.54_entropy.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:51:14; 43292; entropy; 17.7884655240023; 431; 1203x235x210; 25999; 00:00:48.02; 14; 43292_12.51.14_entropy.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:51:33; 60347; entropy; 15.8029534423133; 547; 1203x235x210; 25999; 00:01:06.59; 14; 60347_12.51.33_entropy.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:51:39; 66589; length; 21.8199751060951; 730; 1203x235x210; 25999; 00:01:13.42; 14; 66589_12.51.39_length.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:54:32; 217473; length; 24.1198757036828; 736; 1203x235x210; 25999; 00:04:05.57; 14; 217473_12.54.32_length.png; 600
input_c060_007_t027_20160321_124742.txt; 0; batch_16-03-21_12.50.26; 1; 1; 21/03/2016 12:57:21; 347385; length; 20.4461948427427; 740; 1203x235x210; 25999; 00:06:55.18; 14; 347385_12.57.21_length.png; 600
input_c060_007_t027_20160321_124742.txt; 0.5; batch_16-03-21_13.00.26; 1; 1; 21/03/2016 13:00:27; 1; entropy; 21.8286587858159; 161; 1203x235x210; 25999; 00:00:00.36; 14; 1_13.00.27_entropy.png; 600
input_c060_007_t027_20160321_124742.txt; 0.5; batch_16-03-21_13.00.26; 1; 1; 21/03/2016 13:00:27; 1; length; 21.8286587858159; 161; 1203x235x210; 25999; 00:00:00.53; 14; 1_13.00.27_length.png; 600
input_c060_007_t027_20160321_124742.txt; 0.5; batch_16-03-21_13.00.26; 1; 1; 21/03/2016 13:00:27; 2; entropy; 18.4372104792395; 385; 1203x235x210; 25999; 00:00:00.67; 14; 2_13.00.27_entropy.png; 600
